Isolate,ST,Replicate,OD600,OD570,Normalized OD570,month,day,year,experiment,plate
128,48,5,0.621,0.251,0.404186795,1,19,2018,1,2
128,48,6,0.638,0.387,0.606583072,1,19,2018,1,2
128,48,7,0.597,0.302,0.505862647,1,19,2018,1,2
128,48,8,0.61,0.294,0.481967213,1,19,2018,1,2
128,48,9,0.663,0.37,0.558069382,1,19,2018,1,2
128,48,10,0.705,0.322,0.456737589,1,19,2018,1,2
128,48,11,0.619,0.505,0.815831987,1,19,2018,1,2
128,48,12,0.681,0.237,0.348017621,1,19,2018,1,2
129,48,1,0.5,0.687,1.374,1,19,2018,1,2
129,48,2,0.444,0.431,0.970720721,1,19,2018,1,2
129,48,3,0.443,0.507,1.144469526,1,19,2018,1,2
129,48,4,0.479,0.678,1.415448852,1,19,2018,1,2
129,48,5,0.465,0.565,1.215053763,1,19,2018,1,2
129,48,6,0.507,0.652,1.285996055,1,19,2018,1,2
129,48,7,0.497,0.511,1.028169014,1,19,2018,1,2
129,48,8,0.508,0.899,1.769685039,1,19,2018,1,2
129,48,9,0.52,0.443,0.851923077,1,19,2018,1,2
129,48,10,0.506,0.688,1.359683794,1,19,2018,1,2
129,48,11,0.453,0.651,1.437086093,1,19,2018,1,2
129,48,12,0.558,0.668,1.197132616,1,19,2018,1,2
58,48,1,0.489,0.287,0.586912065,1,25,2018,2,1
58,48,2,0.544,0.321,0.590073529,1,25,2018,2,1
58,48,3,0.562,0.317,0.56405694,1,25,2018,2,1
58,48,4,0.55,0.365,0.663636364,1,25,2018,2,1
58,48,5,0.547,0.361,0.659963437,1,25,2018,2,1
58,48,6,0.486,0.364,0.748971193,1,25,2018,2,1
83,48,1,0.505,0.276,0.546534653,1,25,2018,2,1
83,48,2,0.472,0.299,0.633474576,1,25,2018,2,1
83,48,3,0.481,0.268,0.557172557,1,25,2018,2,1
83,48,4,0.476,0.347,0.728991597,1,25,2018,2,1
83,48,5,0.457,0.373,0.81619256,1,25,2018,2,1
83,48,6,0.491,0.396,0.806517312,1,25,2018,2,1
86,48,1,0.526,0.174,0.330798479,1,25,2018,2,1
86,48,2,0.522,0.166,0.318007663,1,25,2018,2,1
86,48,3,0.54,0.186,0.344444444,1,25,2018,2,1
86,48,4,0.535,0.284,0.530841121,1,25,2018,2,1
86,48,5,0.556,0.197,0.354316547,1,25,2018,2,1
86,48,6,0.529,0.263,0.497164461,1,25,2018,2,1
91,48,1,0.623,0.127,0.203852327,1,25,2018,2,1
91,48,2,0.668,0.124,0.185628743,1,25,2018,2,1
91,48,3,0.697,0.164,0.235294118,1,25,2018,2,1
91,48,4,0.63,0.265,0.420634921,1,25,2018,2,1
91,48,5,0.596,0.167,0.280201342,1,25,2018,2,1
91,48,6,0.659,0.232,0.352048558,1,25,2018,2,1
100,48,1,0.581,0.214,0.368330465,1,25,2018,2,1
100,48,2,0.72,0.217,0.301388889,1,25,2018,2,1
100,48,3,0.632,0.199,0.314873418,1,25,2018,2,1
100,48,4,0.565,0.315,0.557522124,1,25,2018,2,1
100,48,5,0.603,0.227,0.376451078,1,25,2018,2,1
100,48,6,0.605,0.296,0.489256198,1,25,2018,2,1
124,48,1,0.54,0.232,0.42962963,1,25,2018,2,1
124,48,2,0.453,0.339,0.748344371,1,25,2018,2,1
124,48,3,0.47,0.258,0.54893617,1,25,2018,2,1
124,48,4,0.499,0.351,0.703406814,1,25,2018,2,1
124,48,5,0.428,0.295,0.689252336,1,25,2018,2,1
124,48,6,0.471,0.274,0.581740977,1,25,2018,2,1
125,48,1,0.44,0.361,0.820454545,1,25,2018,2,1
125,48,2,0.513,0.382,0.744639376,1,25,2018,2,1
125,48,3,0.49,0.369,0.753061224,1,25,2018,2,1
125,48,4,0.454,0.449,0.988986784,1,25,2018,2,1
125,48,5,0.49,0.482,0.983673469,1,25,2018,2,1
125,48,6,0.548,0.347,0.633211679,1,25,2018,2,1
128,48,1,0.65,0.141,0.216923077,1,25,2018,2,1
128,48,2,0.662,0.147,0.222054381,1,25,2018,2,1
